,company,lot_size,last_price,cost_per_lot
105,Hicks Thermometers India Limited Unlisted Shares,25 Shares, ₹ 1800, ₹ 45000
106,Hindustan Housing Company Unlisted Shares,-,-,-
107,Hindustan Times Unlisted Shares,25 Shares, ₹ 850, ₹ 21250
108,Hindusthan Engineering & Industries Limited Unlisted Shares,100 Shares, ₹ 215, ₹ 21500
109,Hira Ferro Alloys Unlisted Shares,-,-,-
110,Home First Finance Company (HFFC) Limited Unlisted Shares,-,-,-
111,Honeywell Electrical Devices and Systems India Unlisted Shares,10 Shares,-,-
112,Hutti Gold Mines Company Limited Unlisted Shares,1 Shares, ₹ 119838, ₹ 119838
113,ICEX (Indian Commodity Exchange) Limited Unlisted Shares,1000 Shares, ₹ 6.0027, ₹ 6002.7
114,ICL Fincorp Limited Unlisted Shares,500 Shares, ₹ 26, ₹ 13000
115,Incred Holdings Limited Unlisted Shares,-,-,-
116,India Carbon Limited Unlisted Shares,25 Shares, ₹ 975, ₹ 24375
117,India Exposition Mart Ltd Unlisted Share,-,-,-
118,Indian Potash Limited Unlisted Share,25 Shares,-,-
119,Indo Bonito Multinational Limited,-,-,-
120,Indofil Industries Limited Unlisted Shares,25 Shares, ₹ 725, ₹ 18125
121,Inkel Limited Unlisted Shares,1000 Shares, ₹ 13.5355, ₹ 13535.5
122,Inox Leasing and Finance Limited Unlisted Shares,25 Shares, ₹ 2200, ₹ 55000
123,J.K. Fenner (India) Limited Unlisted Shares,-,-,-
124,Jessop & Company Limited Unlisted Shares,-,-,-
125,JK Investo Trade (India) Unlisted Shares,-,-,-
126,Kamarhatty Company Limited Unlisted Shares,250 Shares, ₹ 145, ₹ 36250
127,Kannur International Airport Limited Unlisted Shares,250 Shares, ₹ 115, ₹ 28750
128,Kingfisher Unlisted Shares,-,-,-
129,Kitply Industries Limited Unlisted Shares,2000 Shares, ₹ 7, ₹ 14000
130,Kurl-on Limited Unlisted Shares,50 Shares, ₹ 590, ₹ 29500
131,KURLON Enterprise Limited Unlisted Shares,25 Shares, ₹ 675, ₹ 16875
132,Kusum Industrial Gases Limited Unlisted Shares,50 Shares, ₹ 348, ₹ 17400
133,Lakeshore Hospital Unlisted Share Price,100 Shares, ₹ Best In Industry,-
134,LAVA International Limited Unlisted Shares,100 Shares, ₹ 105, ₹ 10500
135,LE Travenues Technology (IXIGO) Unlisted Share,100 Shares, ₹ 105, ₹ 10500
136,Lotte India Corporation Limited Unlisted Shares,50 Shares, ₹ 475, ₹ 23750
137,Madbow Ventures Unlisted Shares,500 Shares, ₹ 55, ₹ 27500
138,Maharaja Shree Umaid Mills Unlisted Shares,250 Shares, ₹ 135, ₹ 33750
139,Maharashtra Knowledge Corporation (MKCL) Limited Unlisted Shares,50 Shares, ₹ 525, ₹ 26250
140,Malayalam Communications Limited Unlisted Shares,10 Shares, ₹ 35995, ₹ 359950
141,Manjushree Technopack India Limited Unlisted Shares,25 Shares, ₹ 1200, ₹ 30000
142,Market Simplified Unlisted Shares Price,-,-,-
143,Martin and Harris Laboratories Limited Unlisted Shares,25 Shares, ₹ Best in Industry,-
144,Maxvalue Credits and Investments Unlisted Shares,1000 Shares, ₹ 6.5056, ₹ 6505.6
145,Meghmani Finechem Unlisted Shares,-,-,-
